1    	 Carnegie Mellon University	197
2   	 Univ. of Illinois at Urbana-Champaign	126
3   	 Univ. of California - San Diego	126
4   	 Georgia Institute of Technology	137
5   	 Massachusetts Institute of Technology	107
6   	 University of Michigan	106
7   	 University of Washington	83
8   	 Univ. of California - Berkeley	95
9   	 Cornell University	94
10   	 University of Maryland - College Park	89
11  	 Stanford University	62
12  	 Northeastern University	96
13  	 Purdue University	67
14  	 New York University	93
14  	 University of Texas at Austin	45
16  	 Princeton University	64
16  	 University of Pennsylvania	70
18  	 Columbia University	53
19  	 Univ. of California - Los Angeles	48
20  	 University of Wisconsin - Madison	63
21  	 University of Southern California	64
22  	 University of Massachusetts Amherst	63
23  	 University of Chicago	52
24  	 Stony Brook University	59
25  	 Univ. of California - Irvine	71
26  	 Northwestern University	69
27  	 Pennsylvania State University	67
27  	 Univ. of California - Riverside	54
29  	 Univ. of California - Santa Barbara	39
30  	 Duke University	46
30  	 Rutgers University	55
32  	 University of Utah	63
33  	 George Mason University	56
34  	 Texas A&M University	56
34  	 Univ. of California - Santa Cruz	68
36  	 North Carolina State University	58
37  	 Ohio State University	47
37  	 University of Virginia	52
37  	 Yale University	44
40  	 Boston University	43
41  	 Univ. of California - Davis	47
42  	 Brown University	42
42  	 Harvard University	28
42  	 University of Illinois at Chicago	51
45  	 Arizona State University	60
45  	 University at Buffalo	43
45  	 University of North Carolina	42
48  	 Oregon State University	41
48  	 Rice University	31
48  	 University of Colorado Boulder	66
48  	 University of Minnesota	48
52  	 Indiana University	62
52  	 Johns Hopkins University	56
52  	 Virginia Tech	64
55  	 University of Central Florida	52
56  	 Rochester Institute of Technology	56
57  	 Michigan State University	33
57  	 University of Rochester	29
57  	 University of Texas at Dallas	36
57  	 Washington University in St. Louis	30
61  	 University of Texas at Arlington	33
62  	 University of Connecticut	29
62  	 University of Florida	30
62  	 University of Notre Dame	30
62  	 University of Pittsburgh	31
66  	 University of Delaware	31
67  	 Binghamton University	24
67  	 Dartmouth College	25
69  	 Clemson University	37
69  	 Florida State University	22
69  	 NJIT	28
69  	 Univ. of California - Merced	17
73  	 College of William and Mary	21
73  	 Stevens Institute of Technology	22
73  	 Vanderbilt University	31
73  	 Worcester Polytechnic Institute	22
77  	 Georgetown University	18
77  	 Iowa State University	28
77  	 University of Arizona	22
77  	 University of Georgia	22
77  	 Washington State University	24
82  	 California Institute of Technology	11
82  	 Emory University	19
82  	 TTI Chicago	14
82  	 Tufts University	18
82  	 Tulane University	14
87  	 CUNY	32
87  	 Drexel University	18
87  	 UNC - Charlotte	20
90  	 Case Western Reserve University	17
90  	 Colorado School of Mines	13
90  	 Colorado State University	19
90  	 Florida International University	26
90  	 George Washington University	14
90  	 Lehigh University	15
90  	 Rensselaer Polytechnic Institute	21
90  	 Temple University	16
90  	 University of Iowa	19
90  	 University of Nebraska	18
90  	 University of North Texas	25
90  	 University of Oregon	15
90  	 University of South Carolina	14
90  	 University of South Florida	21
90  	 University of Tennessee	15
90  	 Wayne State University	15
106 	 Augusta University	21
106 	 Brigham Young University	21
106 	 Portland State University	12
106 	 Syracuse University	16
106 	 Texas State University	15
106 	 Univ. of Maryland - Baltimore County	21
106 	 University of Houston	15
106 	 University of Massachusetts Lowell	21
106 	 University of Texas at San Antonio	19
115 	 Auburn University	12
115 	 Boston College	9
115 	 Illinois Institute of Technology	11
115 	 Louisiana State University	16
115 	 University of Hawaii at Manoa	14
115 	 University of Kansas	13
115 	 University of Kentucky	12
115 	 University of Memphis	10
115 	 University of New Hampshire	8
124 	 Brandeis University	10
124 	 DePaul University	17
124 	 Kent State University	9
124 	 Michigan Technological University	11
124 	 Texas Tech University	12
124 	 UCCS	8
124 	 University of Arkansas	8
124 	 University of Cincinnati	11
124 	 University of Louisiana - Lafayette	12
124 	 University of Massachusetts Boston	8
124 	 University of Nevada	13
124 	 University of New Mexico	10
124 	 University of Oklahoma	16
124 	 Utah State University	13
124 	 Virginia Commonwealth University	8
139 	 Cleveland State University	7
139 	 Georgia State University	7
139 	 IUPUI	12
139 	 Kansas State University	5
139 	 New Mexico State University	11
139 	 Northern Arizona University	7
139 	 The University of Alabama	6
139 	 University of Massachusetts Dartmouth	4
139 	 University of Nebraska - Omaha	7
139 	 University of Vermont	8
139 	 West Virginia University	6
150 	 Boise State University	6
150 	 Mississippi State University	5
150 	 Missouri S&T	2
150 	 Montana State University	4
150 	 Naval Postgraduate School	7
150 	 New York Tech	2
150 	 Oakland University	4
150 	 Ohio University	6
150 	 Old Dominion University	6
150 	 Saint Louis University	7
150 	 Towson University	4
150 	 UNC - Greensboro	4
150 	 University at Albany - SUNY	3
150 	 University of Colorado - Denver	2
150 	 University of Denver	3
150 	 University of Louisville	2
150 	 University of Michigan-Dearborn	8
150 	 University of Missouri	5
150 	 University of Nevada Las Vegas	5
150 	 University of Southern Mississippi	3
150 	 University of Texas - El Paso	7
150 	 University of Tulsa	3
150 	 University of Wisconsin - Milwaukee	3
150 	 Wichita State University	3
174 	 Air Force Institute of Technology	1
174 	 Florida Atlantic University	2
174 	 Florida Institute of Technology	2
174 	 Indiana State University	2
174 	 Missouri University of Technology	3
174 	 New Mexico Tech	1
174 	 North Dakota State University	1
174 	 Nova Southeastern University	1
174 	 OHSU	3
174 	 Oklahoma State University	3
174 	 Southern Methodist University	3
174 	 University of Alabama - Birmingham	2
174 	 University of Alabama - Huntsville	1
174 	 University of Arkansas - Little Rock	1
174 	 University of Idaho	1
174 	 University of Miami	2
174 	 University of Missouri - Kansas City	2
174 	 University of New Orleans	2
174 	 University of Rhode Island	3
174 	 University of Wyoming	2
174 	 Western Michigan University
