,University,Faculty Name,Faculty Website,scholarid
0,Carnegie Mellon University,Aarti Singh,http://www.cs.cmu.edu/~aarti,6jP3ZSEAAAAJ
1,Carnegie Mellon University,Aayush Jain,https://sites.google.com/view/aayushjain,VZ6S70MAAAAJ
2,Carnegie Mellon University,Abhinav Gupta 0001,http://www.cs.cmu.edu/~abhinavg,NOSCHOLARPAGE
3,Carnegie Mellon University,Adam Perer,https://perer.org,wAxr6b8AAAAJ
4,Carnegie Mellon University,Aditi Raghunathan,https://www.cs.cmu.edu/~aditirag,Ch9iRwQAAAAJ
5,Carnegie Mellon University,Akshitha Sriraman,http://akshithasriraman.com,y0OuVvAAAAAJ
6,Carnegie Mellon University,Alan M. Frieze,https://www.math.cmu.edu/~af1p,EqKRQ4YAAAAJ
7,Carnegie Mellon University,Alan W. Black,https://www.cs.cmu.edu/~awb,Es-YRKMAAAAJ
8,Carnegie Mellon University,Alessandro Acquisti,http://www.heinz.cmu.edu/~acquisti,2XCryp4AAAAJ
9,Carnegie Mellon University,Alexandra Ion,http://www.alexandraion.com,pP920LoAAAAJ
10,Carnegie Mellon University,Alonzo Kelly,http://www.frc.ri.cmu.edu/users/alonzo,W7yeGUoAAAAJ
11,Carnegie Mellon University,Ameet S. Talwalkar,https://www.cs.cmu.edu/~atalwalk,TW7U1W0AAAAJ
12,Carnegie Mellon University,Amy E. Ogan,https://www.hcii.cmu.edu/people/amy-ogan,I0ZGaCQAAAAJ
13,Carnegie Mellon University,Andreas R. Pfenning,http://people.csail.mit.edu/apfenning,Q6VLB4gAAAAJ
14,Carnegie Mellon University,Andrej Risteski,https://math.mit.edu/~risteski,NWPDSEsAAAAJ
15,Carnegie Mellon University,Andrew Begel,https://s3d.cmu.edu/people/core-faculty/begel-andrew1.html,H_oWiFsAAAAJ
16,Carnegie Mellon University,Andrew Pavlo,http://www.cs.cmu.edu/~pavlo,u1UDm4wAAAAJ
17,Carnegie Mellon University,André Platzer,http://symbolaris.com,Y80iWtgAAAAJ
18,Carnegie Mellon University,Aniket Kittur,https://www.hcii.cmu.edu/people/aniket-kittur,2vZ5zRQAAAAJ
19,Carnegie Mellon University,Anupam Datta,http://www.andrew.cmu.edu/user/danupam,oK3QM1wAAAAJ
20,Carnegie Mellon University,Benjamin Moseley,http://www.andrew.cmu.edu/user/moseleyb,qq-SXN8AAAAJ
21,Carnegie Mellon University,Bernhard Haeupler,http://www.cs.cmu.edu/~haeupler,hIq09eUAAAAJ
22,Carnegie Mellon University,Bhiksha Raj,http://www.cs.cmu.edu/~bhiksha,IWcGY98AAAAJ
23,Carnegie Mellon University,Bhiksha Ramakrishnan,https://www.cs.cmu.edu/directory/bhikshar,IWcGY98AAAAJ
24,Carnegie Mellon University,Bill Scherlis,http://www.cs.cmu.edu/~wls,F6LzqwMAAAAJ
25,Carnegie Mellon University,Bogdan Vasilescu,http://bvasiles.github.io,bcXjlqYAAAAJ
26,Carnegie Mellon University,Brad A. Myers,http://www.cs.cmu.edu/~bam,E1cp_aYAAAAJ
27,Carnegie Mellon University,Brandon Lucia,http://brandonlucia.com,a9T7i5QAAAAJ
28,Carnegie Mellon University,Bruce H. Krogh,https://www.ece.cmu.edu/directory/details/89,s4yZTp4AAAAJ
29,Carnegie Mellon University,Bruno Sinopoli,https://users.ece.cmu.edu/~brunos,zZO9qG4AAAAJ
30,Carnegie Mellon University,Bryan Parno,https://www.cylab.cmu.edu/education/faculty/parno.html,kTTBpJkAAAAJ
31,Carnegie Mellon University,Carl Kingsford,http://www.cs.cmu.edu/~ckingsf,V_cvqKcAAAAJ
32,Carnegie Mellon University,Carolyn P. Rosé,http://www.cs.cmu.edu/~cprose,BMydCgcAAAAJ
33,Carnegie Mellon University,Changliu Liu,https://www.ri.cmu.edu/ri-faculty/changliu-liu,vvzAfOwAAAAJ
34,Carnegie Mellon University,Chenyan Xiong,http://www.cs.cmu.edu/~cx,E9BaEBYAAAAJ
35,Carnegie Mellon University,Chinmay Eishan Kulkarni,https://hcii.cmu.edu/people/chinmay-kulkarni,ZDatV6MAAAAJ
36,Carnegie Mellon University,Chris Donahue,https://chrisdonahue.com,MgzHAPQAAAAJ
37,Carnegie Mellon University,Chris Harrison 0001,http://www.chrisharrison.net,36HRdqMAAAAJ
38,Carnegie Mellon University,Christian Cuba-Samaniego,https://christiansami.wixsite.com/cecubasamaniego,F5JTlEcAAAAJ
39,Carnegie Mellon University,Christian Kästner,https://www.cs.cmu.edu/~ckaestne,PR-ZnJUAAAAJ
40,Carnegie Mellon University,Christopher G. Atkeson,http://www.cs.cmu.edu/~cga,NOSCHOLARPAGE
41,Carnegie Mellon University,Christopher J. Langmead,http://www.cs.cmu.edu/~cjl,NOSCHOLARPAGE
42,Carnegie Mellon University,Christos Faloutsos,http://www.cs.cmu.edu/~christos,nd8lQQIAAAAJ
43,Carnegie Mellon University,Claire Le Goues,https://clairelegoues.com,Cmr9ljkAAAAJ
44,Carnegie Mellon University,Dabbala Rajagopal Reddy,http://www.rr.cs.cmu.edu,6n7rzokAAAAJ
45,Carnegie Mellon University,Dan Siewiorek,https://www.cs.cmu.edu/~dps,B13SvmAAAAAJ
46,Carnegie Mellon University,Dana S. Scott,http://www.cs.cmu.edu/~scott,EsIyIQsAAAAJ
47,Carnegie Mellon University,Daniel Dominic Kaplan Sleator,http://www.cs.cmu.edu/~sleator,NOSCHOLARPAGE
48,Carnegie Mellon University,Daniel Fried,https://dpfried.github.io,sJDqACEAAAAJ
49,Carnegie Mellon University,Daphne Ippolito,https://www.daphnei.com,COEsqLYAAAAJ
50,Carnegie Mellon University,Dave Andersen,https://www.cs.cmu.edu/~dga,wUArfPgAAAAJ
51,Carnegie Mellon University,David Brumley,https://users.ece.cmu.edu/~dbrumley,O-29z5AAAAAJ
52,Carnegie Mellon University,David Garlan,https://www.cs.cmu.edu/~garlan,p6HgUFEAAAAJ
53,Carnegie Mellon University,David Held,http://davheld.github.io,0QtU-NsAAAAJ
54,Carnegie Mellon University,David J. Mostow,http://www.cs.cmu.edu/~mostow,P0Mv6pIAAAAJ
55,Carnegie Mellon University,David Lindlbauer,https://www.davidlindlbauer.com,DBkNLiwAAAAJ
56,Carnegie Mellon University,David P. Woodruff,http://www.cs.cmu.edu/~dwoodruf,kMmxbbIAAAAJ
57,Carnegie Mellon University,David R. O'Hallaron,https://www.cs.cmu.edu/~droh,738WppcAAAAJ
58,Carnegie Mellon University,Deepak Pathak,https://people.eecs.berkeley.edu/~pathak,AEsPCAUAAAAJ
